season,year,workout_number,workout_code,division,competition_gender,workout_type,workout_text,time_cap,standards_summary,workout_description_pdf,movement_standards_pdf,rx_scaled_scorecard_pdf,foundations_scorecard_pdf,equipment_free_scorecard_pdf,other_scorecard_links,quick_start,notes,tiebreak,equipment,page_url
Open,2019,1,19.1,,,,"Complete as many rounds as possible in 15 minutes of:
19 wall-ball shots
19-cal. row
Men throw 20-lb. ball to 10-ft. target",,Men throw 20-lb. ball to 10-ft. target,https://games-assets.crossfit.com/2019Open_Week1_4ROMWOD-fnhd87ehsydbegw66.pdf,,,,,,,"The workout begins with the medicine ball on the ground and athlete standing tall. After the call of “3, 2, 1… go,” the athlete will pick up the ball and perform the wall-ball shots. After 19 reps are complete, the athlete will move to the rower and pull 19 calories. The monitor must read 19 calories before the athlete can unstrap and move back to the wall-ball shots for the next round.
The athlete’s score will be the total number of repetitions completed within the 15-minute time cap. Each calorie completed on the row will be equal to 1 rep.
There is no tiebreak for this workout.",,"Medicine ball of appropriate weight for your division*
Concept2 rower
*The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms are 9 kg (20 lb.), 6 kg (14 lb.) and 4 kg (10 lb.).
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2019/1
Open,2019,2,19.2,,,,"Beginning on an 8-minute clock, complete as many reps as possible of:
25 toes-to-bars
50 double-unders
15 squat cleans, 135 lb.
25 toes-to-bars
50 double-unders
13 squat cleans, 185 lb.
If completed before 8 minutes, add 4 minutes to the clock and proceed to:
25 toes-to-bars
50 double-unders
11 squat cleans, 225 lb.
If completed before 12 minutes, add 4 minutes to the clock and proceed to:
25 toes-to-bars
50 double-unders
9 squat cleans, 275 lb.
If completed before 16 minutes, add 4 minutes to the clock and proceed to:
25 toes-to-bars
50 double-unders
7 squat cleans, 315 lb.
Stop at 20 minutes.",,,https://games-assets.crossfit.com/19-2-2019Open_Trifecta-kjeu762b3hd.pdf,,,,,,,"This workout begins with the athlete standing under the pull-up bar. After the call of “3, 2, 1 ... go,” the athlete will have 8 minutes to perform 25 toes-to-bars, followed by 50 double-unders and 15 squat cleans, then perform 25 toes-to-bars, 50 double-unders and 13 squat cleans, this time at a heavier weight. If the athlete does not complete all 178 repetitions within 8 minutes, their workout is over. The athlete will stop and record their score.
If all 178 repetitions are completed within the 8-minute window, the athlete will earn an additional 4 minutes to perform another 25 toes-to-bars, 50 double-unders and 11 squat cleans, again at a heavier weight. If all 264 repetitions (90 from round 1, plus 88 from round 2, plus 86 from round 3) are completed by the 12-minute mark, the athlete will begin another round and the time cap will be extended by an additional 4 minutes. Each round, the weight of the clean will increase while the reps of the clean decrease.
Once a round is completed, the athlete may immediately begin the next round. The athlete does not need to wait for the 4-minute round to end before moving on to the next round.
This pattern of earning additional time will continue for up to 20 minutes, as long as a full round is completed before the next cutoff.
This workout is over when the athlete fails to complete all the repetitions within the cutoff time for that round. The final round ends at the 20-minute mark. The athlete’s score is the number of repetitions completed up to their cutoff time.
In this workout, another person may assist the athlete in changing the plates on the barbell during the workout, or multiple barbells may be used. Collars must be placed on the outside of all the plates on any bar used during the workout.","The scoring for this workout includes a tiebreak. At the end of each set of double-unders, time should be marked. When you submit your final result, your score will be the number of reps completed. There will be another field where you will enter the elapsed time at which you completed your last set of double-unders. In the case where two athletes have the same score (total number of reps), the athlete with the lower tiebreak will be ranked higher.
If all 5 rounds are completed in under 20 minutes, your score is the total time it takes you to complete the workout.
Note: All tiebreak times must be reported in elapsed time, not in time remaining.
Do not use a countdown timer.","Pull-up bar
Jump rope
Barbell
Collars
Plates to load to the appropriate weight for your division*
*The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms are 20 kg (45 lb.), 25 kg (55 lb.), 29 kg (65 lb.), 34 kg (75 lb.), 38 kg (85 lb.), 43 kg (95 lb.), 47 kg (105 lb.), 52 kg (115 lb.), 56 kg (125 lb.), 61 kg (135 lb.), 65 kg (145 lb.), 70 kg (155 lb.), 79 kg (175 lb.), 83 kg (185 lb.), 93 kg (205 lb.), 102 kg (225 lb.), 124 kg (275 lb.) and 142 kg (315 lb.).
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout standards video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2019/2
Open,2019,3,19.3,,,,"For time:
200-ft. dumbbell overhead lunge
50 dumbbell box step-ups
50 strict handstand push-ups
200-ft. handstand walk
50-lb. dumbbell, 24-in. box
Time cap: 10 minutes",Time cap: 10 minutes,,https://games-assets.crossfit.com/2019-sdfoiwwe09835.pdf,,,,,,,"Prior to starting this workout, the athlete will need to mark a starting point on the floor, then measure out no more than 25 feet and make another mark on the floor at the finishing point. Additionally, marks must be made every 5 feet to create sections, each of which represents 1 rep of the lunge and handstand walk.
A box measuring 36 inches wide and 24 inches deep also must be marked on the floor in front of the wall where strict handstand push-ups will be performed.
This workout begins with the dumbbell on the floor and the athlete standing tall. After the call of “3, 2, 1 ... go,” the athlete will pick up a single dumbbell and lunge with it overhead for 200 feet. The athlete then will perform 50 dumbbell box step-ups with one dumbbell. After completion of the dumbbell box step-ups, the athlete will perform strict handstand push-ups. Once 50 strict handstand push-ups are completed, the athlete will handstand walk for 200 feet.
The athlete’s score will be the time it takes to complete the workout or the total number of repetitions completed before the 10-minute time cap.
To see CrossFit Games Head Judge Adrian Bozman's three critical tips for judging strict handstand push-ups in 19.3,
click here.","The scoring for this workout includes a tiebreak. The athlete’s time after completing the final box step-up will be used as a tiebreak time. Another tiebreak time will be recorded after the final handstand push-up is completed. When you submit your final result, your score will be the number of reps completed. There will be another field where you will enter the elapsed time at which you completed either your final box step-up or your final handstand push-up. In the case where two athletes have the same score (total number of reps), the athlete with the lower tiebreak time will be ranked higher.
If the entire workout is completed in under 10 minutes, your score is the total time it takes you to complete the workout.
Note: All tiebreak times must be reported in elapsed time, not in time remaining.
Do not use a countdown timer.","Dumbbell of appropriate weight for your division*†
Box of appropriate height for your division (the top of the box must be at least 15-by-15 inches)
Measuring tape
Floor marks for the strict handstand push-up box
Floor marks for the single-arm overhead walking lunge and handstand walk
*Kilogram dumbbells may not be used by athletes competing in the U.S. or Canada. If you are using adjustable dumbbells, the largest plates allowed are standard-sized 10-lb. (5 kg) metal change plates (9 inches in diameter). When the dumbbell is at rest, the bottom of the handle cannot be more than 4 inches off the ground. Any athletes using an unconventional or unmarked dumbbell will need to confirm the weight of the dumbbell on a scale and clearly show the height of the handle with a ruler or measuring tape in their video submission. Kettlebells, fat bells or other non-traditional dumbbells are not allowed.
†The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms are 22.5 kg (50 lb.), 15 kg (35 lb.), 10 kg (20 lb.) and 5 kg (10 lb.).
If gym space is limited and a 25-foot lunge and handstand walk area is not available, athletes will be permitted to lunge back and forth in a smaller area so long as the 5-foot intervals still can be seen clearly.
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout standards video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2019/3
Open,2019,4,19.4,,,,"For total time:
3 rounds of:
10 snatches
12 bar-facing burpees
Then, rest 3 minutes before continuing with:
3 rounds of:
10 bar muscle-ups
12 bar-facing burpees
Men snatch 95 lb.
Time cap: 12 minutes",Time cap: 12 minutes,,https://games-assets.crossfit.com/19-4-asodifwehfwo948.pdf,,,,,,,"Prior to starting this workout, the athlete will need to set up a barbell, with standard plates, to jump over during the burpees. This workout begins with the barbell on the floor and the athlete standing tall. After the call of “3, 2, 1 … go,” the athlete may perform 10 snatches and 12 bar-facing burpees for 3 rounds. Upon completion of the first couplet, the athlete MUST rest 3 minutes while the clock continues to run. The athlete then may continue to the second portion of the workout: 3 rounds of 10 bar muscle-ups and 12 bar-facing burpees.
The athlete’s score will be the total time it takes to complete the entire workout or the total number of repetitions completed before the 12-minute time cap.
If the athlete doesn't complete the first couplet until after the 9-minute mark, their workout is over. In this case, the athlete’s score will be 66 reps (with a tiebreak time).","This workout includes a tiebreak. If all 132 reps are completed prior to the 12-minute time cap, your score will be your total time, and there will be no tiebreaker. However, if you are not able to complete the entire workout in the allotted time, a tiebreaker will be factored into your final score. During the workout, be sure to note your time at the end of the final burpee in the first couplet. When you submit your score, there will be a space for your final rep count and an additional field for you to enter the elapsed time at which you completed your last full set of bar-facing burpees in the first half of the workout. In the case where two athletes have the same score (total number of reps), the athlete with the lower tiebreak time will be ranked higher.
Note: All tiebreak times must be reported in elapsed time, not in time remaining.
Do not use a countdown timer.","Barbell
Standard bumper plates (18-in. diameter) to load to the appropriate weight for your division*
Collars
Pull-up bar
*The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms are 43 kg (95 lb.), 29 kg (65 lb.), 20 kg (45 lb.) and 15 kg (35 lb.).
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout standards video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2019/4
Open,2019,5,19.5,,,,"33-27-21-15-9 reps for time of:
95-lb. thrusters
Chest-to-bar pull-ups
Time cap: 20 minutes",Time cap: 20 minutes,,https://games-assets.crossfit.com/Open-19-5-sdofiw0vnGT.pdf,,,,,,,"This workout begins with the barbell on the floor and the athlete standing tall. After the call of “3, 2, 1 … go,” the athlete may perform 33 thrusters, then 33 chest-to-bar pull-ups. The athlete will repeat this couplet, performing 27 thrusters and 27 chest-to-bar pull-ups, 21 and 21, 15 and 15, and finally 9 and 9.
The athlete’s score will be the total time it takes to complete the entire workout or the total number of repetitions completed before the 20-minute time cap.",,"Barbell
Plates to load to the appropriate weight for your division*
Collars
Pull-up bar
*The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms are 43 kg (95 lb.), 29 kg (65 lb.), 20 kg (45 lb.) and 15 kg (35 lb.).
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout standards video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2019/5
Open,2020,1,20.1,,,,"WORKOUT 20.1
WORKOUT VARIATIONS
10 rounds for time of:
8 ground-to-overheads
10 bar-facing burpees
♀ 65 lb. ♂ 95 lb.
Time cap: 15 minutes
Rx’d (Rx’d Ages 16-54)
♀ 65 lb.
♂ 95 lb.
Scaled (Scaled Ages 16-54)
♀ 45 lb., may step over bar on burpees
♂ 65 lb., may step over bar on burpees
Teenagers 14-15
♀ 45 lb.
♂ 65 lb.
Scaled Teenagers 14-15
♀ 35 lb., may step over bar on burpees
♂ 45 lb., may step over bar on burpees
Masters 55+
♀ 45 lb.
♂ 65 lb.
Scaled Masters 55+
♀ 35 lb., may step over bar on burpees
♂ 45 lb., may step over bar on burpees",Time cap: 15 minutes,"♀ 65 lb. ♂ 95 lb.
♀ 65 lb.
♂ 95 lb.
♀ 45 lb., may step over bar on burpees
♂ 65 lb., may step over bar on burpees
♀ 45 lb.
♂ 65 lb.
♀ 35 lb., may step over bar on burpees
♂ 45 lb., may step over bar on burpees",https://games-assets.crossfit.com/asdofi349854kjsd_0.pdf,,,,,,,"Prior to starting the workout, the athlete will need to set up a barbell, with standard plates, to jump over during the burpees. This workout begins with the barbell on the floor and the athlete standing tall. After the call of “3, 2, 1… go,” the athlete may pick up the barbell and perform 8 ground-to-overheads then 10 bar-facing burpees for 10 rounds.
The athlete’s score will be the total time it takes to complete the entire workout or the total number of repetitions completed before the 15-minute time cap.
There is no tiebreak for this workout.",,"Barbell(s)
Standard bumper plates (18-inch diameter) to load barbell for burpee
Collars to secure the plates on the barbell
Plates to load to the appropriate weight for your division*
*The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms are 43 kg (95 lb.), 29 kg (65 lb.), 20 kg (45 lb.), and 15 kg (35 lb.).
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people, or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout standards video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2020/1
Open,2020,2,20.2,,,,"Complete as many rounds as possible in 20 minutes of:
4 dumbbell thrusters
6 toes-to-bars
24 double-unders
50-lb. dumbbells",,,https://games-assets.crossfit.com/dofigj0349.pdf,,,,,,,"This workout begins with the dumbbells on the floor and the athlete standing tall. After the call of “3, 2, 1 … go,” the athlete may begin performing thrusters. After 4 reps of thrusters are completed, the athlete will advance to a pull-up bar to perform toes-to-bars. After 6 reps of toes-to-bars are completed, the athlete will move to a jump rope and complete 24 double-unders before returning to the thrusters for the next round.
The athlete’s score will be the total number of repetitions completed before the 20-minute time cap.
There is no tiebreak for this workout.",,"Pull-up bar
Jump rope
Dumbbells of the appropriate weight for your division*
*The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms are 22.5 kg (50 lb.), 15 kg (35 lb.), 10 kg (20 lb.), and 7.5 kg (15 lb.).
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people, or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout standards video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2020/2
Open,2020,3,20.3,,,,"For time:
21 deadlifts, 225 lb.
21 handstand push-ups
15 deadlifts, 225 lb.
15 handstand push-ups
9 deadlifts, 225 lb.
9 handstand push-ups
21 deadlifts, 315 lb.
50-ft. handstand walk
15 deadlifts, 315 lb.
50-ft. handstand walk
9 deadlifts, 315 lb.
50-ft. handstand walk
Time cap: 9 min.",Time cap: 9 min.,,https://games-assets.crossfit.com/fhwiuea1osidf0923fl.pdf,,,,,,,"Prior to starting the workout, the athlete will need to mark a line on the wall for the handstand push-ups (details in Movement Standards section). Lengths on the floor will also need to be measured and marked for the handstand walk.
This workout begins with the barbell on the floor and the athlete standing tall. After the call of “3, 2, 1 … go,” the athlete may perform 21 deadlifts, then move to the wall for 21 handstand push-ups, then complete 15 deadlifts and 15 handstand push-ups, then 9 deadlifts and 9 handstand push-ups.
The athlete may then move on to the heavier barbell to complete 21 deadlifts, a 50-ft. handstand walk, 15 deadlifts, another 50-ft. handstand walk, and finally, 9 deadlifts and a third 50-ft. handstand walk.
The athlete’s score will be the time it takes to complete the workout or the total number of repetitions completed before the 9-minute time cap. Each completed 5-foot section of the handstand walk will count as 1 rep.","This workout includes a tiebreak. If the athlete completes the entire workout prior to the 9-minute time cap, their score will be their total time, and there will be no tiebreaker. However, if the athlete is not able to complete the entire workout, note the time at the end of each set of deadlifts. When submitting a score, there will be a space for the final rep count and an additional field to enter the elapsed time at which the athlete completed their last full set of deadlifts. In the case where two athletes have the same score (total number of reps), the athlete with the lower tiebreak time will be ranked higher. Do NOT use a countdown timer.","Barbell
Standard bumper plates (18-inch diameter) to load to the appropriate weights for your division
Collars to secure the plates on the barbell
A heel mark for the handstand push-ups
Floor marks for the handstand walk
*The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms for the deadlift are 143 kg (315 lb.), 115 kg (255 lb.), 102 kg (225 lb.), 93 kg (205 lb.), 83 kg (185 lb.), 75 kg (165 lb.), 70 kg (155 lb.), 61 kg (135 lb.), 56 kg (125 lb.), 52 kg (115 lb.), 47 kg (105 lb.), 43 kg (95 lb.), 36 kg (80 lb.), 34 kg (75 lb.) 29 kg (65 lb.), and 25 kg (55 lb.).
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people, or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout standards video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2020/3
Open,2020,4,20.4,,,,"For time:
30 box jumps, 24 in.
15 clean and jerks, 95 lb.
30 box jumps, 24 in.
15 clean and jerks, 135 lb.
30 box jumps, 24 in.
10 clean and jerks, 185 lb.
30 single-leg squats
10 clean and jerks, 225 lb.
30 single-leg squats
5 clean and jerks, 275 lb.
30 single-leg squats
5 clean and jerks, 315 lb.
Time cap: 20 minutes",Time cap: 20 minutes,,https://games-assets.crossfit.com/2020%20Open_20.4_V6%20%281%29.pdf,,,,,,,"After the call of “3, 2, 1 … go,” the athlete may perform 30 box jumps followed by 15 clean and jerks, then 30 box jumps followed by 15 clean and jerks at a heavier weight, then 30 box jumps followed by 10 clean and jerks, increasing the weight again. Next, the athlete performs 30 single-leg squats followed by 10 clean and jerks, then 30 single-leg squats followed by 5 clean and jerks, and finally, 30 single-leg squats followed by 5 clean and jerks. Again, the weight of the clean and jerk increases each round.
Athletes may set up multiple barbells. If one barbell is used, the athlete may receive assistance changing the load on the bar. Receiving any assistance other than adjusting loading is not permitted unless safety is an immediate concern.","If the athlete completes the entire workout prior to the 20-minute time cap, their score will be their total time, and there will be no tiebreaker.
If the athlete is not able to complete the entire workout in the allotted time, a tiebreaker will be factored into their score. During the workout, be sure to note the athlete’s time at the end of each set of box jumps and single-leg squats. When the athlete submits their score, there will be a space for their final rep count and an additional field for them to enter the elapsed time at which they completed their final rep of box jumps or single-leg squats. In the case where two athletes have the same score (total number of reps), the athlete with the lower tiebreak time will be ranked higher. Do NOT use a countdown timer.","Box of appropriate height for your division (the top of the box must be at least 15-by-15 inches)
Barbell
Standard bumper plates (18-in. diameter) to load to the appropriate weight for your division*
Medicine ball* (scaled divisions)
Collars to secure the plates on the barbell
*The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms are 6 kg (14 lb.), 9 kg (20 lb.), 15 kg (35 lb.), 20 kg (45 lb.), 25 kg (55 lb.), 29 kg (65 lb.), 34 kg (75 lb.), 38 kg (85 lb.), 43 kg (95 lb.), 47 kg (105 lb.), 52 kg (115 lb.), 56 kg (125 lb.), 61 kg (135 lb.), 65 kg (145 lb.), 70 kg (155 lb.), 79 kg (175 lb.), 83 kg (185 lb.), 93 kg (205 lb.), 102 kg (225 lb.), 124 kg (275 lb.), and 142 kg (315 lb.).
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people, or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout standards video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2020/4
Open,2020,5,20.5,,,,"WORKOUT 20.5
WORKOUT VARIATIONS
For time, partitioned any way:
40 muscle-ups
80-cal. row
120 wall-ball shots
♀ 14-lb. ball to 9 ft.
♂ 20-lb. ball to 10 ft.
Time cap: 20 minutes",Time cap: 20 minutes,"♀ 14-lb. ball to 9 ft.
♂ 20-lb. ball to 10 ft.",https://games-assets.crossfit.com/af0s9jfw-v7.pdf,,,,,,,"After the call of “3, 2, 1 … go,” the athlete may perform 40 muscle-ups, 80 calories on the rower, and 120 wall-ball shots. Athletes may perform the movements in any order, and the reps can be divided up in any manner. There are no restrictions on the sequence or combinations of movements, or their corresponding repetitions. The repetitions of one movement do not have to be completed before the athlete can accumulate reps of another movement.
Regardless of where athletes choose to begin the workout, they must start fully standing, not touching any equipment. Only after the call of “3, 2, 1 ... go” may the athlete touch the medicine ball, rower, or rings and begin the workout.","This workout includes a tiebreak. If the athlete completes all 240 reps prior to the 20-minute time cap, their score will be their total time, and there will be no tiebreaker.
If the athlete is not able to complete the entire workout in the allotted time, a tiebreaker will be factored into their final score. Note the time when the athlete completes 80 calories on the rower and 120 wall-ball shots, regardless of how they choose to break up the work. When the athlete submits their score, there will be a space for their final rep count and an additional field for them to enter the elapsed time at which they completed the rowing and wall balls. In the case where two athletes have the same score (total number of reps), the athlete with the lower tiebreak time will be ranked higher. Do NOT use a countdown timer.","Rings
Pull-up bar* (Masters 55+ and scaled divisions only)
Concept2 rower
Medicine ball of appropriate weight for your division*
*The official weight is in pounds. For your convenience, the minimum acceptable weights in kilograms are 9 kg (20 lb.), 6 kg (14 lb.), and 4 kg (10 lb.).
For each workout, be sure the athlete has adequate space to safely complete all the movements. Clear the area of all extra equipment, people, or other obstructions.
Any athlete who in any way alters the equipment or movements described in this document or shown in the workout standards video may be disqualified from the competition.",https://games.crossfit.com/workouts/open/2020/5
